Date,Close/Last,Volume,Open,High,Low
11/28/2025,$177.00,121332800,$179.01,$179.29,$176.50
11/26/2025,$180.26,183852000,$181.63,$182.91,$178.24
11/25/2025,$177.82,320600300,$174.91,$178.16,$169.55
11/24/2025,$182.55,256618300,$179.49,$183.50,$176.48
11/21/2025,$178.88,346926200,$181.235,$184.56,$172.93
11/20/2025,$180.64,343504800,$195.95,$196.00,$179.85
11/19/2025,$186.52,247246400,$184.79,$187.855,$182.8301
11/18/2025,$181.36,213598900,$183.375,$184.80,$179.65
11/17/2025,$186.60,173628900,$185.965,$189.00,$184.32
11/14/2025,$190.17,186591900,$182.86,$191.01,$180.58
11/13/2025,$186.86,207423100,$191.05,$191.44,$183.85
11/12/2025,$193.80,154935300,$195.72,$195.89,$191.13
11/11/2025,$193.16,176483300,$195.155,$195.42,$191.30
11/10/2025,$199.05,198897100,$195.11,$199.94,$193.79
11/07/2025,$188.15,264942300,$184.90,$188.32,$178.91
11/06/2025,$188.08,223029800,$196.42,$197.62,$186.38
11/05/2025,$195.21,171350300,$198.77,$202.92,$194.65
11/04/2025,$198.69,188919300,$203.00,$203.9699,$197.93
11/03/2025,$206.88,180267300,$208.08,$211.335,$205.56
10/31/2025,$202.49,179802200,$206.45,$207.97,$202.07
10/30/2025,$202.89,178864400,$205.15,$206.16,$201.41
